day,timestamp,global_ts,strike,S,dS,IV_residual,surface_edge_ticks
0,0,0,5300,5250.0,,0.0056564948794598,-1.922998074216138
0,0,0,5400,5250.0,,-9.991597268138586e-06,0.0025923643422545
0,100,100,5300,5250.5,0.5,0.0050735921375879,-1.7257828423352175
0,100,100,5400,5250.5,0.5,0.001520200224539,-0.397005137591812
0,200,200,5300,5250.5,0.0,0.00507511699769,-1.7262891926968555
0,200,200,5400,5250.5,0.0,0.0015217269320305,-0.3974010034733743
0,300,300,5300,5250.5,0.0,0.0050766418904684,-1.7267955466752112
0,300,300,5400,5250.5,0.0,0.0015232536722388,-0.3977968721827126
0,400,400,5300,5250.5,0.0,0.0050781668159255,-1.727301904270795
0,400,400,5400,5250.5,0.0,0.0015247804451646,-0.3981927437198136
0,500,500,5300,5249.5,-1.0,0.0033030379917522,-1.1211314237689245
0,500,500,5400,5249.5,-1.0,0.000388521399314,-0.1007069696031388
0,600,600,5300,5248.5,-1.0,0.0044658609311321,-1.514075425152102
0,600,600,5400,5248.5,-1.0,0.0011709018998854,-0.3029435933462852
0,700,700,5300,5248.5,0.0,0.0044673817928955,-1.51458022841216
0,700,700,5400,5248.5,0.0,0.0011724271105518,-0.303336039185274
0,800,800,5300,5247.5,-1.0,0.0041499619875474,-1.404584589204638
0,800,800,5400,5247.5,-1.0,1.1714879993351968e-05,-0.0030076828642465
0,900,900,5300,5246.5,-1.0,0.0038249572727185,-1.292341392717458
0,900,900,5400,5246.5,-1.0,0.0007878599766463,-0.2018999919103387
0,1000,1000,5300,5247.5,1.0,0.0041529995613161,-1.4055925953522057
0,1000,1000,5400,5247.5,1.0,1.474975877069351e-05,-0.0037868047221323
0,1100,1100,5300,5248.5,1.0,0.0044734655658943,-1.5165994775137597
0,1100,1100,5400,5248.5,1.0,0.0011785282800944,-0.3049058505761678
0,1200,1200,5300,5248.5,0.0,0.0044749865906365,-1.5171042988050225
0,1200,1200,5400,5248.5,0.0,0.0011800536542085,-0.3052983104337958
0,1300,1300,5300,5247.5,-1.0,0.0056345030891392,-1.9079929462110816
0,1300,1300,5400,5247.5,-1.0,1.9302320852954136e-05,-0.0049555083813415
0,1400,1400,5300,5247.5,0.0,0.0041590750994734,-1.407608650855127
0,1400,1400,5400,5247.5,0.0,2.0819906597246973e-05,-0.0053450818342661
0,1500,1500,5300,5246.5,-1.0,0.0038340573361856,-1.2953605123272158
0,1500,1500,5400,5246.5,-1.0,0.0007970011228023,-0.204233782200812
0,1600,1600,5300,5246.0,-0.5,0.0044099523087909,-1.4890393145880143
0,1600,1600,5400,5246.0,-0.5,0.0011853637100742,-0.3034702868078542
0,1700,1700,5300,5246.0,0.0,0.0044114733000035,-1.4895422416616428
0,1700,1700,5400,5246.0,0.0,0.0011868903731134,-0.3038589637280081
0,1800,1800,5300,5246.5,0.5,0.0038386078067788,-1.2968701206640512
0,1800,1800,5400,5246.5,0.5,0.000801572136722,-0.2054007148616591
0,1900,1900,5300,5247.0,0.5,0.0047435848550414,-1.6044390791267564
0,1900,1900,5400,5247.0,0.5,0.0004159176962903,-0.1066756365922898
0,2000,2000,5300,5247.5,0.5,0.0056452101730355,-1.9115230491624255
0,2000,2000,5400,5247.5,0.5,2.9926104156419164e-05,-0.0076825810005935
0,2100,2100,5300,5247.0,-0.5,0.0047466315137314,-1.6054466193414194
0,2100,2100,5400,5247.0,-0.5,0.0004189592806002,-0.1074542144207081
0,2200,2200,5300,5247.0,0.0,0.004748154892055,-1.605950394847655
0,2200,2200,5400,5247.0,0.0,0.0004204801216546,-0.1078435075075438
0,2300,2300,5300,5247.5,0.5,0.0056497994150827,-1.9130360044747867
0,2300,2300,5400,5247.5,0.5,3.447964212338617e-05,-0.0088513681615831
0,2400,2400,5300,5248.5,1.0,0.0044932414306228,-1.5231624356288542
0,2400,2400,5400,5248.5,1.0,0.0011983606938972,-0.3100080474283633
0,2500,2500,5300,5247.5,-1.0,0.0041757855154521,-1.4131531005745603
0,2500,2500,5400,5247.5,-1.0,3.7515496783879776e-05,-0.0096305735208484
0,2600,2600,5300,5246.5,-1.0,0.0053303630409388,-1.8017647820890712
0,2600,2600,5400,5246.5,-1.0,0.0008137629442779,-0.2085126575771604
0,2700,2700,5300,5246.5,0.0,0.0038522609743733,-1.3013991398274094
0,2700,2700,5400,5246.5,0.0,0.0008152869422221,-0.2089016629248235
0,2800,2800,5300,5245.5,-1.0,0.0050018134417674,-1.687739587473277
0,2800,2800,5400,5245.5,-1.0,-0.0003706880755859,0.094229887646542
0,2900,2900,5300,5246.5,1.0,0.0023748059675965,-0.8018036716956065
0,2900,2900,5400,5246.5,1.0,0.0008183350361171,-0.2096796819580874
0,3000,3000,5300,5245.5,-1.0,0.0050048645669282,-1.6887449799201455
0,3000,3000,5400,5245.5,-1.0,0.0015932914762166,-0.4074890581068078
0,3100,3100,5300,5246.5,1.0,0.0038583298944128,-1.3034121307249285
