strike,public_trade_count,public_total_qty,mean_trade_qty,median_trade_qty,p90_trade_qty,max_trade_qty,mean_intertrade_ts_all,median_intertrade_ts_all,mean_intertrade_ts_nonzero,median_intertrade_ts_nonzero,at_bid_qty,at_ask_qty,at_mid_qty,inside_spread_qty,at_bid_frac,at_ask_frac,avg_daily_at_bid_qty,avg_daily_at_ask_qty,realistic_long_build_per_day_bid,realistic_short_build_per_day_ask,book_bid_depletion_qty,book_ask_depletion_qty,qty_1_trade_count,qty_2_trade_count,qty_3_trade_count,qty_4_trade_count,qty_5_trade_count,qty_6_trade_count,qty_7_trade_count,qty_8_trade_count,qty_9_trade_count,qty_10_trade_count,book_vs_public_qty_ratio
4000,464,940.0,2.0258620689655173,2.0,3.0,3.0,6465.726681127982,4700.0,6465.726681127982,4700.0,485.0,455.0,0.0,0.0,0.5159574468085106,0.48404255319148937,161.66666666666666,151.66666666666666,161.66666666666666,151.66666666666666,16839.0,16762.0,146,160,158,0,0,0,0,0,0,0,35.74574468085106
4500,1,1.0,1.0,1.0,1.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4442.0,4511.0,1,0,0,0,0,0,0,0,0,0,8953.0
5000,1,1.0,1.0,1.0,1.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,18489.0,18164.0,1,0,0,0,0,0,0,0,0,0,36653.0
5100,1,1.0,1.0,1.0,1.0,1.0,,,,,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,22581.0,22047.0,1,0,0,0,0,0,0,0,0,0,44628.0
5200,18,63.0,3.5,4.0,5.0,5.0,123653.33333333333,63400.0,123653.33333333333,63400.0,62.0,1.0,0.0,0.0,0.9841269841269841,0.015873015873015872,20.666666666666668,0.3333333333333333,20.666666666666668,0.3333333333333333,72440.0,70681.0,1,5,2,4,6,0,0,0,0,0,2271.7619047619046
5300,121,420.0,3.4710743801652892,4.0,5.0,5.0,24330.508474576272,18200.0,24330.508474576272,18200.0,414.0,1.0,5.0,0.0,0.9857142857142858,0.002380952380952381,138.0,0.3333333333333333,138.0,0.3333333333333333,61861.0,61650.0,1,33,23,36,28,0,0,0,0,0,294.07380952380953
5400,225,787.0,3.497777777777778,4.0,5.0,5.0,13323.873873873874,10550.0,13323.873873873874,10550.0,787.0,0.0,0.0,0.0,1.0,0.0,262.3333333333333,0.0,262.3333333333333,0.0,60064.0,59418.0,0,62,46,60,57,0,0,0,0,0,151.81956797966964
5500,267,937.0,3.5093632958801497,4.0,5.0,5.0,11195.833333333334,8400.0,11195.833333333334,8400.0,937.0,0.0,0.0,0.0,1.0,0.0,312.3333333333333,0.0,312.3333333333333,0.0,61012.0,60539.0,0,73,53,73,68,0,0,0,0,0,129.72358591248667
6000,284,1002.0,3.528169014084507,4.0,5.0,5.0,10526.334519572954,7900.0,10526.334519572954,7900.0,1002.0,0.0,0.0,0.0,1.0,0.0,334.0,0.0,334.0,0.0,61800.0,61281.0,0,76,56,78,74,0,0,0,0,0,122.83532934131736
6500,284,1002.0,3.528169014084507,4.0,5.0,5.0,10526.334519572954,7900.0,10526.334519572954,7900.0,1002.0,0.0,0.0,0.0,1.0,0.0,334.0,0.0,334.0,0.0,46594.0,45966.0,0,76,56,78,74,0,0,0,0,0,92.37524950099801
