timestamp,buyer,seller,symbol,currency,price,quantity,day,global_ts,bid_price_1,ask_price_1,mid_price,bid_volume_1,ask_volume_1,side_class,strike
2900,,,VEV_5400,XIRECS,22.0,3,0,2900,22,23,22.5,22,25,at_bid,5400
2900,,,VEV_5500,XIRECS,8.0,3,0,2900,8,9,8.5,22,25,at_bid,5500
2900,,,VEV_6000,XIRECS,0.0,3,0,2900,0,1,0.5,22,25,at_bid,6000
2900,,,VEV_6500,XIRECS,0.0,3,0,2900,0,1,0.5,12,15,at_bid,6500
9000,,,VEV_4000,XIRECS,1222.0,2,0,9000,1222,1242,1232.0,7,7,at_bid,4000
11100,,,VEV_4000,XIRECS,1246.0,1,0,11100,1225,1246,1235.5,8,8,at_ask,4000
15200,,,VEV_5400,XIRECS,21.0,5,0,15200,21,22,21.5,11,16,at_bid,5400
15200,,,VEV_5500,XIRECS,7.0,5,0,15200,7,9,8.0,11,16,at_bid,5500
15200,,,VEV_6000,XIRECS,0.0,5,0,15200,0,1,0.5,11,16,at_bid,6000
15200,,,VEV_6500,XIRECS,0.0,5,0,15200,0,1,0.5,8,13,at_bid,6500
15400,,,VEV_4000,XIRECS,1232.0,3,0,15400,1232,1253,1242.5,15,15,at_bid,4000
18600,,,VEV_4000,XIRECS,1247.0,3,0,18600,1227,1247,1237.0,10,10,at_ask,4000
24400,,,VEV_4000,XIRECS,1225.0,1,0,24400,1225,1246,1235.5,15,15,at_bid,4000
31700,,,VEV_5400,XIRECS,18.0,5,0,31700,18,20,19.0,22,27,at_bid,5400
31700,,,VEV_5500,XIRECS,6.0,5,0,31700,6,7,6.5,22,27,at_bid,5500
31700,,,VEV_6000,XIRECS,0.0,5,0,31700,0,1,0.5,22,27,at_bid,6000
31700,,,VEV_6500,XIRECS,0.0,5,0,31700,0,1,0.5,9,14,at_bid,6500
41500,,,VEV_4000,XIRECS,1242.0,1,0,41500,1221,1242,1231.5,12,12,at_ask,4000
45100,,,VEV_5400,XIRECS,19.0,2,0,45100,19,20,19.5,26,28,at_bid,5400
45100,,,VEV_5500,XIRECS,7.0,2,0,45100,7,8,7.5,26,28,at_bid,5500
45100,,,VEV_6000,XIRECS,0.0,2,0,45100,0,1,0.5,26,28,at_bid,6000
45100,,,VEV_6500,XIRECS,0.0,2,0,45100,0,1,0.5,15,17,at_bid,6500
57900,,,VEV_4000,XIRECS,1232.0,1,0,57900,1232,1253,1242.5,7,7,at_bid,4000
62400,,,VEV_4000,XIRECS,1229.0,2,0,62400,1229,1250,1239.5,9,9,at_bid,4000
68400,,,VEV_6000,XIRECS,0.0,5,0,68400,0,1,0.5,12,17,at_bid,6000
68400,,,VEV_6500,XIRECS,0.0,5,0,68400,0,1,0.5,13,18,at_bid,6500
69500,,,VEV_5300,XIRECS,48.0,5,0,69500,48,50,49.0,5,24,at_bid,5300
69500,,,VEV_5400,XIRECS,20.0,5,0,69500,20,22,21.0,19,24,at_bid,5400
69500,,,VEV_5500,XIRECS,7.0,5,0,69500,7,8,7.5,19,24,at_bid,5500
69500,,,VEV_6000,XIRECS,0.0,5,0,69500,0,1,0.5,19,24,at_bid,6000
69500,,,VEV_6500,XIRECS,0.0,5,0,69500,0,1,0.5,9,14,at_bid,6500
75300,,,VEV_4000,XIRECS,1253.0,3,0,75300,1232,1253,1242.5,13,13,at_ask,4000
79000,,,VEV_4000,XIRECS,1235.0,2,0,79000,1235,1256,1245.5,14,14,at_bid,4000
79800,,,VEV_4000,XIRECS,1260.0,1,0,79800,1239,1260,1249.5,10,10,at_ask,4000
79900,,,VEV_4000,XIRECS,1261.0,2,0,79900,1240,1261,1250.5,12,12,at_ask,4000
81700,,,VEV_4000,XIRECS,1264.0,1,0,81700,1243,1264,1253.5,7,7,at_ask,4000
87400,,,VEV_5300,XIRECS,47.0,3,0,87400,47,49,48.0,12,15,at_bid,5300
87400,,,VEV_5400,XIRECS,20.0,3,0,87400,20,22,21.0,12,15,at_bid,5400
87400,,,VEV_5500,XIRECS,7.0,3,0,87400,7,8,7.5,12,5,at_bid,5500
87400,,,VEV_6000,XIRECS,0.0,3,0,87400,0,1,0.5,12,15,at_bid,6000
87400,,,VEV_6500,XIRECS,0.0,3,0,87400,0,1,0.5,11,14,at_bid,6500
88000,,,VEV_4000,XIRECS,1247.0,1,0,88000,1226,1247,1236.5,9,9,at_ask,4000
88900,,,VEV_5500,XIRECS,7.0,4,0,88900,7,8,7.5,24,28,at_bid,5500
88900,,,VEV_6000,XIRECS,0.0,4,0,88900,0,1,0.5,24,28,at_bid,6000
88900,,,VEV_6500,XIRECS,0.0,4,0,88900,0,1,0.5,17,21,at_bid,6500
98200,,,VEV_4000,XIRECS,1246.0,3,0,98200,1226,1246,1236.0,12,12,at_ask,4000
99100,,,VEV_4000,XIRECS,1251.0,1,0,99100,1230,1251,1240.5,9,9,at_ask,4000
109300,,,VEV_4000,XIRECS,1216.0,1,0,109300,1216,1237,1226.5,14,14,at_bid,4000
109700,,,VEV_5300,XIRECS,41.0,4,0,109700,41,43,42.0,13,17,at_bid,5300
109700,,,VEV_5400,XIRECS,17.0,4,0,109700,17,18,17.5,13,17,at_bid,5400
109700,,,VEV_5500,XIRECS,6.0,4,0,109700,6,7,6.5,13,17,at_bid,5500
109700,,,VEV_6000,XIRECS,0.0,4,0,109700,0,1,0.5,13,17,at_bid,6000
109700,,,VEV_6500,XIRECS,0.0,4,0,109700,0,1,0.5,14,18,at_bid,6500
110600,,,VEV_5300,XIRECS,41.0,3,0,110600,41,43,42.0,20,23,at_bid,5300
110600,,,VEV_5400,XIRECS,17.0,3,0,110600,17,18,17.5,20,23,at_bid,5400
110600,,,VEV_5500,XIRECS,6.0,3,0,110600,6,7,6.5,20,23,at_bid,5500
110600,,,VEV_6000,XIRECS,0.0,3,0,110600,0,1,0.5,20,23,at_bid,6000
