strike,product,delta_emp_mean,delta_emp_std_by_day,delta_BS_mean,R2_mean,rolling_delta_std,lag_optimal,corr_at_lag,corr_at_0,signal,stability,is_actionable,long_vev_qty,short_ve_qty,ve_half_spread,vev_half_spread,execution_cost,assumed_rebal_qty_10ts_if_delta_swing_0_1,assumed_rebalance_cost_10ts,empirical_rebal_qty_p95_10ts,empirical_rebalance_cost_p95_10ts,gross_edge_assumed,net_edge_after_hedge_assumed
5400,VEV_5400,0.1289579363250821,0.00810512064787095,0.1822886563025603,0.2918708745380039,0.025054512242898112,0.0,0.5400562735002319,0.5400562735002319,sync_no_lead_signal,stable,True,50,6,2.5,0.5,40.0,5,12.5,1,2.5,50.0,-2.5
5300,VEV_5300,0.2726948178952021,0.0014458109142772492,0.3922365134967243,0.38648633578320934,0.04023915401217365,0.0,0.6216399087228969,0.6216399087228969,sync_no_lead_signal,stable,True,50,14,2.5,1.0,85.0,5,12.5,2,5.0,50.0,-47.5
5200,VEV_5200,0.4365825882092209,0.009687632374319442,0.6237643602113921,0.5145920631322585,0.05035352502661338,0.0,0.71741508850045,0.71741508850045,sync_no_lead_signal,stable,True,50,22,2.5,1.5,130.0,5,12.5,2,5.0,50.0,-92.5
5100,VEV_5100,0.5771595036561689,0.01709517474787686,0.8230946897582294,0.5858116050395824,0.054524680390647805,0.0,0.7653302054445351,0.7653302054445351,sync_no_lead_signal,stable,True,50,29,2.5,2.0,172.5,5,12.5,2,5.0,50.0,-135.0
5000,VEV_5000,0.6534883469343401,0.003744260696850963,0.9370067086821233,0.5679949611181334,0.060245351881962034,0.0,0.7536427220938058,0.7536427220938058,sync_no_lead_signal,stable,True,50,33,2.5,3.0,232.5,5,12.5,2,5.0,50.0,-195.0
4500,VEV_4500,0.6617802981666777,0.003561114310663451,1.0,0.3575056897594284,0.07613610821789935,0.0,0.5979063819424834,0.5979063819424834,sync_no_lead_signal,stable,True,50,33,2.5,8.0,482.5,5,12.5,3,7.5,50.0,-445.0
4000,VEV_4000,0.7450736664723913,0.012844668586151992,1.0,0.35388951833560284,0.089558299714974,0.0,0.594873808113947,0.594873808113947,sync_no_lead_signal,fragile,True,50,37,2.5,10.5,617.5,5,12.5,3,7.5,50.0,-580.0
6000,VEV_6000,0.0,0.0,0.005813711729041733,,0.0,,,,illiquid_or_static_no_signal,flat_or_illiquid,False,50,0,2.5,0.5,25.0,5,12.5,0,0.0,50.0,12.5
6500,VEV_6500,0.0,0.0,0.004005064287415335,,0.0,,,,illiquid_or_static_no_signal,flat_or_illiquid,False,50,0,2.5,0.5,25.0,5,12.5,0,0.0,50.0,12.5
5500,VEV_5500,0.05495348731769114,0.0085446015322491,0.08281799028335497,0.12145673090803344,0.025765010319570878,0.0,0.34822162716233346,0.34822162716233346,sync_no_lead_signal,stable,False,50,3,2.5,0.5,32.5,5,12.5,1,2.5,50.0,5.0
