strike,product,rolling_delta_mean,rolling_delta_std,rolling_delta_p10,rolling_delta_p90,p95_abs_delta_change_10ts,empirical_rebal_qty_p95_10ts
4000,VEV_4000,0.7485782411228669,0.089558299714974,0.6329085414528453,0.8635529008539116,0.05825658284755835,3
4500,VEV_4500,0.663842772613851,0.07613610821789935,0.5686063202959446,0.7588711361034414,0.04938300687618116,3
5000,VEV_5000,0.6555498257586553,0.060245351881962034,0.5811037992165631,0.7376470588235294,0.03660736886989943,2
5100,VEV_5100,0.5793812869561918,0.054524680390647805,0.5120772946859904,0.6503672678235971,0.031516977872633786,2
5200,VEV_5200,0.4375697804810626,0.05035352502661338,0.37944248431145466,0.5059890034543781,0.025849985140372983,2
5300,VEV_5300,0.2732818083068026,0.04023915401217365,0.22042418897953828,0.32753669534426966,0.020073928342608537,2
5400,VEV_5400,0.12925090815662985,0.025054512242898112,0.0942622950819672,0.15803571428571428,0.012077083060693253,1
5500,VEV_5500,0.054980658880159475,0.025765010319570878,0.020689655172413793,0.08880435887014837,0.011913672537839162,1
6000,VEV_6000,0.0,0.0,0.0,0.0,0.0,0
6500,VEV_6500,0.0,0.0,0.0,0.0,0.0,0
