product,buy_trades,sell_trades,unknown_side_trades,buy_sell_trade_ratio,buy_volume,sell_volume,buy_sell_volume_ratio,flow_tilt
VELVETFRUIT_EXTRACT,781,591,0,1.3214890016920473,4925.0,3344.0,1.4727870813397128,balanced
HYDROGEL_PACK,524,486,0,1.0781893004115226,2118.0,1960.0,1.0806122448979592,balanced
VEV_4000,226,238,0,0.9495798319327731,455.0,485.0,0.9381443298969072,balanced
VEV_5200,1,17,0,0.058823529411764705,1.0,62.0,0.016129032258064516,sell-heavy
VEV_5300,1,119,1,0.008403361344537815,1.0,414.0,0.0024154589371980675,sell-heavy
VEV_5400,0,225,0,0.0,0.0,787.0,0.0,sell-heavy
VEV_5500,0,267,0,0.0,0.0,937.0,0.0,sell-heavy
VEV_6000,0,284,0,0.0,0.0,1002.0,0.0,sell-heavy
VEV_6500,0,284,0,0.0,0.0,1002.0,0.0,sell-heavy
VEV_4500,1,0,0,,1.0,0.0,,unknown
VEV_5000,1,0,0,,1.0,0.0,,unknown
VEV_5100,1,0,0,,1.0,0.0,,unknown
