product,trades,large_trades,large_trades_with_side,mean_signed_markout_100,positive_markout_rate_100,mean_signed_markout_500,positive_markout_rate_500,mean_signed_markout_1000,positive_markout_rate_1000,danger_score,danger_level,median_size,mean_size,p95_size,max_size
VELVETFRUIT_EXTRACT,1372,78,78,1.8461538461538463,0.8974358974358975,1.8076923076923077,0.782051282051282,2.0,0.6794871794871795,2.8076923076923075,HIGH,6.0,6.026967930029154,10.0,15
VEV_5200,18,6,6,0.08333333333333333,0.5,0.16666666666666666,0.6666666666666666,0.08333333333333333,0.3333333333333333,0.20833333333333331,MEDIUM,4.0,3.5,5.0,5
VEV_5300,121,28,27,0.16666666666666666,0.3333333333333333,0.24074074074074073,0.48148148148148145,0.018518518518518517,0.3333333333333333,0.25,LOW,4.0,3.4710743801652892,5.0,5
VEV_4000,464,158,158,0.022151898734177215,0.3860759493670886,0.16139240506329114,0.43670886075949367,0.03481012658227848,0.4177215189873418,0.1787974683544304,LOW,2.0,2.0258620689655173,3.0,3
HYDROGEL_PACK,1010,205,205,-0.3,0.32682926829268294,-0.32195121951219513,0.4926829268292683,0.20243902439024392,0.5219512195121951,0.10121951219512196,LOW,4.0,4.037623762376238,6.0,6
VEV_5400,225,57,57,0.008771929824561403,0.17543859649122806,0.017543859649122806,0.3157894736842105,-0.08771929824561403,0.2807017543859649,0.017543859649122806,LOW,4.0,3.497777777777778,5.0,5
VEV_5500,267,68,68,0.051470588235294115,0.10294117647058823,0.007352941176470588,0.10294117647058823,-0.022058823529411766,0.1323529411764706,0.007352941176470588,LOW,4.0,3.5093632958801497,5.0,5
VEV_6000,284,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,4.0,3.528169014084507,5.0,5
VEV_6500,284,74,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,4.0,3.528169014084507,5.0,5
VEV_4500,1,1,1,7.5,1.0,2.5,1.0,3.0,1.0,4.0,LOW_SAMPLE,1.0,1.0,1.0,1
VEV_5000,1,1,1,3.0,1.0,0.5,1.0,1.0,1.0,1.0,LOW_SAMPLE,1.0,1.0,1.0,1
VEV_5100,1,1,1,2.0,1.0,0.0,0.0,1.0,1.0,0.5,LOW_SAMPLE,1.0,1.0,1.0,1
