product,danger_level,median_spread,suggested_min_edge_ticks,obi_action,flow_tilt,avoid_global_hot_bins
VELVETFRUIT_EXTRACT,HIGH,5.0,3,OBI weak; keep neutral,balanced,"910,000-919,900, 280,000-289,900, 10,000-19,900, 640,000-649,900, 230,000-239,900"
VEV_5200,MEDIUM,3.0,1,OBI weak; keep neutral,sell-heavy,"910,000-919,900, 280,000-289,900, 10,000-19,900, 640,000-649,900, 230,000-239,900"
VEV_5300,LOW,2.0,1,OBI weak; keep neutral,sell-heavy,"910,000-919,900, 280,000-289,900, 10,000-19,900, 640,000-649,900, 230,000-239,900"
VEV_4000,LOW,21.0,6,OBI weak; keep neutral,balanced,"910,000-919,900, 280,000-289,900, 10,000-19,900, 640,000-649,900, 230,000-239,900"
HYDROGEL_PACK,LOW,16.0,4,OBI weak; keep neutral,balanced,"910,000-919,900, 280,000-289,900, 10,000-19,900, 640,000-649,900, 230,000-239,900"
VEV_5400,LOW,1.0,1,OBI weak; keep neutral,sell-heavy,"910,000-919,900, 280,000-289,900, 10,000-19,900, 640,000-649,900, 230,000-239,900"
VEV_5500,LOW,1.0,1,OBI weak; keep neutral,sell-heavy,"910,000-919,900, 280,000-289,900, 10,000-19,900, 640,000-649,900, 230,000-239,900"
VEV_6000,LOW,1.0,1,OBI weak; keep neutral,sell-heavy,"910,000-919,900, 280,000-289,900, 10,000-19,900, 640,000-649,900, 230,000-239,900"
VEV_6500,LOW,1.0,1,OBI weak; keep neutral,sell-heavy,"910,000-919,900, 280,000-289,900, 10,000-19,900, 640,000-649,900, 230,000-239,900"
VEV_4500,LOW_SAMPLE,16.0,4,OBI weak; keep neutral,unknown,"910,000-919,900, 280,000-289,900, 10,000-19,900, 640,000-649,900, 230,000-239,900"
VEV_5000,LOW_SAMPLE,6.0,2,OBI weak; keep neutral,unknown,"910,000-919,900, 280,000-289,900, 10,000-19,900, 640,000-649,900, 230,000-239,900"
VEV_5100,LOW_SAMPLE,4.0,1,OBI weak; keep neutral,unknown,"910,000-919,900, 280,000-289,900, 10,000-19,900, 640,000-649,900, 230,000-239,900"
