product,q5_minus_q1_delta_100,q5_minus_q1_delta_500,obi_predictive,mean_q1_delta_500,mean_q5_delta_500
VEV_5400,-0.005336001334000333,0.0040853760213440055,False,-0.0007503751875937969,0.0033350008337502085
VEV_5500,-0.001667500416875104,0.0017508754377188592,False,-0.0005836251459062865,0.001167250291812573
VEV_6000,0.0,0.0,False,0.0,0.0
VEV_6500,0.0,0.0,False,0.0,0.0
VEV_5300,-0.02609638152409538,-0.006336501584125396,False,0.010338502584625646,0.00400200100050025
VEV_5200,-0.05869601467400368,-0.02659663164915791,False,0.0327663831915958,0.006169751542437886
VEV_5100,-0.09146239786559947,-0.05127563781890946,False,0.05144238786059697,0.00016675004168751042
VEV_5000,-0.13148240787060197,-0.0863765215941304,False,0.07103551775887944,-0.01534100383525096
VEV_4500,-0.35826246456561617,-0.3092379523094881,False,0.18609304652326164,-0.12314490578622644
VEV_4000,-0.4747373686843422,-0.4214607303651826,False,0.24303818575954644,-0.17842254460563614
VELVETFRUIT_EXTRACT,-0.5036685009171252,-0.4419709854927464,False,0.27913956978489246,-0.16283141570785392
HYDROGEL_PACK,-0.6425712856428214,-0.5532766383191596,False,0.27930631982657994,-0.27397031849257963
