product,obi_quintile,mean_delta_100,mean_delta_500
HYDROGEL_PACK,Q1,0.32224445556111386,0.27930631982657994
HYDROGEL_PACK,Q2,0.018092379523094882,0.06361514090378523
HYDROGEL_PACK,Q3,0.0025012506253126563,-0.022011005502751375
HYDROGEL_PACK,Q4,-0.01934300483575121,-0.03743538435884609
HYDROGEL_PACK,Q5,-0.32032683008170754,-0.27397031849257963
VELVETFRUIT_EXTRACT,Q1,0.2885609471402368,0.27913956978489246
VELVETFRUIT_EXTRACT,Q2,-0.02001000500250125,-0.0240120060030015
VELVETFRUIT_EXTRACT,Q3,-0.024679006169751543,-0.027096881774220444
VELVETFRUIT_EXTRACT,Q4,-0.020927130231782557,-0.026680006670001668
VELVETFRUIT_EXTRACT,Q5,-0.21510755377688845,-0.16283141570785392
VEV_4000,Q1,0.2511255627813907,0.24303818575954644
VEV_4000,Q2,-0.017091879272969818,-0.03234950808737702
VEV_4000,Q3,0.006836751709187927,0.016508254127063533
VEV_4000,Q4,-0.009338002334500583,-0.010005002501250625
VEV_4000,Q5,-0.2236118059029515,-0.17842254460563614
VEV_4500,Q1,0.19217942304485577,0.18609304652326164
VEV_4500,Q2,-0.014007003501750876,-0.02834750708687677
VEV_4500,Q3,0.0036685009171252294,0.014007003501750876
VEV_4500,Q4,-0.0077538769384692344,-0.009504752376188095
VEV_4500,Q5,-0.1660830415207604,-0.12314490578622644
VEV_5000,Q1,0.07687176921794231,0.07103551775887944
VEV_5000,Q2,-0.009588127397031848,-0.0215941303985326
VEV_5000,Q3,-0.002001000500250125,0.006169751542437886
VEV_5000,Q4,-0.003585125896281474,-0.00625312656328164
VEV_5000,Q5,-0.054610638652659665,-0.01534100383525096
VEV_5100,Q1,0.056361514090378526,0.05144238786059697
VEV_5100,Q2,-0.008837752209438053,-0.02126063031515758
VEV_5100,Q3,-0.0029181257295314324,0.0025846256461564115
VEV_5100,Q4,-0.004252126063031516,-0.007337001834250459
VEV_5100,Q5,-0.03510088377522094,0.00016675004168751042
VEV_5200,Q1,0.037935634483908624,0.0327663831915958
VEV_5200,Q2,-0.00833750208437552,-0.018092379523094882
VEV_5200,Q3,-0.0025846256461564115,0.0006670001667500417
VEV_5200,Q4,-0.0030015007503751876,-0.006920126730031682
VEV_5200,Q5,-0.02076038019009505,0.006169751542437886
VEV_5300,Q1,0.01534100383525096,0.010338502584625646
VEV_5300,Q2,-0.0029181257295314324,-0.008671002167750541
VEV_5300,Q3,-0.00016675004168751042,0.0025846256461564115
VEV_5300,Q4,-0.0005002501250625312,-0.003084875771218943
VEV_5300,Q5,-0.010755377688844422,0.00400200100050025
VEV_5400,Q1,0.002334500583625146,-0.0007503751875937969
VEV_5400,Q2,-0.0002501250625312656,-0.003168250792062698
VEV_5400,Q3,-0.0002501250625312656,-0.0006670001667500417
VEV_5400,Q4,0.0008337502084375521,-0.0010838752709688177
VEV_5400,Q5,-0.0030015007503751876,0.0033350008337502085
VEV_5500,Q1,0.0005002501250625312,-0.0005836251459062865
VEV_5500,Q2,-8.337502084375521e-05,-0.0014173753543438386
VEV_5500,Q3,8.337502084375521e-05,-0.0006670001667500417
VEV_5500,Q4,0.0005002501250625312,0.0006670001667500417
VEV_5500,Q5,-0.001167250291812573,0.001167250291812573
VEV_6000,Q1,0.0,0.0
VEV_6000,Q2,0.0,0.0
VEV_6000,Q3,0.0,0.0
VEV_6000,Q4,0.0,0.0
VEV_6000,Q5,0.0,0.0
VEV_6500,Q1,0.0,0.0
VEV_6500,Q2,0.0,0.0
VEV_6500,Q3,0.0,0.0
VEV_6500,Q4,0.0,0.0
VEV_6500,Q5,0.0,0.0
