product,trades,median_size,mean_size,p95_size,max_size
HYDROGEL_PACK,1010,4.0,4.037623762376238,6.0,6
VELVETFRUIT_EXTRACT,1372,6.0,6.026967930029154,10.0,15
VEV_4000,464,2.0,2.0258620689655173,3.0,3
VEV_4500,1,1.0,1.0,1.0,1
VEV_5000,1,1.0,1.0,1.0,1
VEV_5100,1,1.0,1.0,1.0,1
VEV_5200,18,4.0,3.5,5.0,5
VEV_5300,121,4.0,3.4710743801652892,5.0,5
VEV_5400,225,4.0,3.497777777777778,5.0,5
VEV_5500,267,4.0,3.5093632958801497,5.0,5
VEV_6000,284,4.0,3.528169014084507,5.0,5
VEV_6500,284,4.0,3.528169014084507,5.0,5
