time_bin,total_volume,large_trade_markout_500
0,128,-6.25
10000,206,1.8333333333333333
20000,134,0.3125
30000,190,0.6666666666666666
40000,235,-0.5
50000,150,0.0
60000,151,0.6111111111111112
70000,202,-0.5625
80000,188,2.1666666666666665
90000,114,4.0
100000,196,-0.25
110000,98,1.5
120000,157,-1.0
130000,168,-0.16666666666666666
140000,165,2.3333333333333335
150000,199,0.42857142857142855
160000,155,0.5555555555555556
170000,229,0.4117647058823529
180000,140,1.0
190000,247,-0.9375
200000,179,0.9545454545454546
210000,154,0.16666666666666666
220000,151,-0.1
230000,208,1.3125
240000,95,0.4
250000,168,1.8333333333333333
260000,220,-0.2
270000,199,-0.7916666666666666
280000,230,1.75
290000,180,0.6428571428571429
300000,120,1.25
310000,172,0.2
320000,225,0.59375
330000,134,-1.0
340000,172,0.9
350000,176,-1.5
360000,162,-1.2
370000,163,0.6153846153846154
380000,161,-2.2
390000,185,0.5
400000,139,-2.0
410000,177,-1.5714285714285714
420000,160,-0.08333333333333333
430000,159,1.1666666666666667
440000,176,-0.7857142857142857
450000,192,1.8
460000,146,0.5
470000,153,
480000,193,-0.45
490000,205,0.7727272727272727
500000,195,-0.3333333333333333
510000,195,0.8888888888888888
520000,167,5.375
530000,132,0.3333333333333333
540000,209,0.45454545454545453
550000,227,-1.2777777777777777
560000,196,2.3333333333333335
570000,197,-0.041666666666666664
580000,203,-1.3333333333333333
590000,138,0.9444444444444444
600000,160,0.85
610000,146,1.125
620000,184,-0.75
630000,157,-0.5
640000,224,0.9090909090909091
650000,173,0.9285714285714286
660000,113,-1.0
670000,120,-2.0
680000,188,-0.7222222222222222
690000,219,-0.10714285714285714
700000,140,0.6428571428571429
710000,203,-0.15384615384615385
720000,179,4.0
730000,159,-0.4
740000,160,-1.1666666666666667
750000,138,-0.3333333333333333
760000,194,-1.0416666666666667
770000,192,2.0
780000,145,0.0
790000,193,-0.6666666666666666
800000,173,3.5
810000,200,0.7142857142857143
820000,210,0.35714285714285715
830000,187,-0.8888888888888888
840000,235,0.3333333333333333
850000,120,2.7
860000,186,-0.038461538461538464
870000,192,0.8333333333333334
880000,175,-0.5
890000,141,2.0714285714285716
900000,140,2.0
910000,212,4.0
920000,218,-1.9705882352941178
930000,191,-0.375
940000,279,-0.5
950000,159,-2.8333333333333335
960000,134,-2.125
970000,158,-1.0
980000,180,-0.13636363636363635
990000,159,0.5357142857142857
