product_a,product_b,volume_corr
VEV_6000,VEV_6500,1.0
VEV_4500,VEV_5100,1.0
VEV_4500,VEV_5000,1.0
VEV_5000,VEV_5100,1.0
VEV_5500,VEV_6500,0.9505233684527596
VEV_5500,VEV_6000,0.9505233684527596
VEV_5400,VEV_6500,0.8576114348297694
VEV_5400,VEV_6000,0.8576114348297694
VEV_5400,VEV_5500,0.829824010288409
VEV_5300,VEV_6500,0.5894947678862752
VEV_5300,VEV_6000,0.5894947678862752
VEV_5300,VEV_5500,0.5869570505099618
VEV_5300,VEV_5400,0.5180420600075437
VEV_5200,VEV_6500,0.19982161949311983
VEV_5200,VEV_6000,0.19982161949311983
VEV_5200,VEV_5500,0.19521113260565903
VEV_5200,VEV_5400,0.16302402725521792
VEV_5200,VEV_5300,0.15486729091626036
HYDROGEL_PACK,VEV_5500,0.06994499104569606
HYDROGEL_PACK,VEV_5200,0.06601713290173979
VEV_5100,VEV_5200,0.05110397745314413
VEV_4500,VEV_5200,0.05110397745314413
VEV_5000,VEV_5200,0.05110397745314413
HYDROGEL_PACK,VEV_6500,0.040728530725532716
HYDROGEL_PACK,VEV_6000,0.040728530725532716
HYDROGEL_PACK,VEV_4000,0.03750722683523504
VELVETFRUIT_EXTRACT,VEV_5300,0.03409191624829458
HYDROGEL_PACK,VEV_5400,0.03310678486066949
VEV_4000,VEV_5500,0.0305626451085161
VEV_5100,VEV_5400,0.028133765055361172
VEV_4500,VEV_5400,0.028133765055361172
VEV_5000,VEV_5400,0.028133765055361172
VEV_4000,VEV_6000,0.022816473060745735
VEV_4000,VEV_6500,0.022816473060745735
VEV_4000,VEV_5200,0.016670225665224848
VEV_4500,VEV_5500,0.016361772946778357
VEV_5000,VEV_5500,0.016361772946778357
VEV_5100,VEV_5500,0.016361772946778357
VEV_4500,VEV_6000,0.011991699991117651
VEV_4500,VEV_6500,0.011991699991117651
VEV_5100,VEV_6000,0.011991699991117651
VEV_5000,VEV_6000,0.011991699991117651
VEV_5000,VEV_6500,0.011991699991117651
VEV_5100,VEV_6500,0.011991699991117651
VELVETFRUIT_EXTRACT,VEV_5100,0.010657350545562244
VELVETFRUIT_EXTRACT,VEV_5000,0.010657350545562244
VELVETFRUIT_EXTRACT,VEV_4500,0.010657350545562244
VEV_4000,VEV_5300,0.0005237483165282639
VEV_4000,VEV_5400,-0.004569776612245033
VEV_4500,VEV_5300,-0.010243286245588202
VEV_5100,VEV_5300,-0.010243286245588202
VEV_5000,VEV_5300,-0.010243286245588202
VELVETFRUIT_EXTRACT,VEV_4000,-0.01811727854524941
HYDROGEL_PACK,VEV_5300,-0.025866435318917032
VEV_4000,VEV_5100,-0.043777616043050555
VEV_4000,VEV_5000,-0.043777616043050555
VEV_4000,VEV_4500,-0.043777616043050555
HYDROGEL_PACK,VEV_5100,-0.06347677849356412
HYDROGEL_PACK,VEV_5000,-0.06347677849356412
HYDROGEL_PACK,VEV_4500,-0.06347677849356412
HYDROGEL_PACK,VELVETFRUIT_EXTRACT,-0.08975028609377929
VELVETFRUIT_EXTRACT,VEV_5400,-0.09054043246074357
VELVETFRUIT_EXTRACT,VEV_5500,-0.09127064962733579
VELVETFRUIT_EXTRACT,VEV_6500,-0.09975260836965175
VELVETFRUIT_EXTRACT,VEV_6000,-0.09975260836965175
VELVETFRUIT_EXTRACT,VEV_5200,-0.10080790093787126
