product,wall_volume_p90_threshold,wall_instances,median_life_ts,mean_life_ts,wall_hit_trades,mean_hit_signed_markout_100,hit_in_direction_rate_100
VEV_5400,27.0,4785,100.0,108.23406478578892,1,0.0,0.0
VEV_5500,27.0,4887,100.0,108.98301616533661,1,0.0,0.0
VEV_6000,27.0,4941,100.0,109.79558793766444,1,0.0,0.0
VELVETFRUIT_EXTRACT,64.0,7624,100.0,105.6925498426023,146,-0.3424657534246575,0.2808219178082192
HYDROGEL_PACK,28.0,10640,100.0,104.53007518796993,0,,
VEV_4000,27.0,10500,100.0,108.13333333333334,0,,
VEV_4500,22.0,8724,100.0,106.2585969738652,0,,
VEV_5000,28.0,7763,100.0,106.90454721112972,0,,
VEV_5100,30.0,7662,100.0,107.15217958757505,0,,
VEV_5200,32.0,4779,100.0,105.27306967984934,0,,
VEV_5300,27.0,4360,100.0,106.03211009174312,0,,
VEV_6500,19.0,4080,100.0,108.38235294117646,0,,
