,VEV_4000,VEV_4500,VEV_5000,VEV_5100,VEV_5200,VEV_5300,VEV_5400,VEV_5500,VEV_6000,VEV_6500
VEV_4000,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
VEV_4500,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
VEV_5000,0.001,0.001,0.0,0.001,0.001,0.001,0.0022040009821141706,0.001,0.001,0.001
VEV_5100,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001,0.001
VEV_5200,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001,0.001
VEV_5300,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001,0.001
VEV_5400,0.001,0.001,0.0022040009821141706,0.001,0.001,0.001,0.0,0.001,0.001,0.001
VEV_5500,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001
VEV_6000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,
VEV_6500,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,,0.0
