K1,K2,K3,day,equal_spaced,violations_count_mid,tradable_arb_count,mean_fly,std_fly,min_fly,max_fly,mean_convexity_fly,std_convexity_fly,min_convexity_fly,max_tradable_edge,half_life,autocorr_rho,strategy_trades,EV_trade_estimated,strategy_win_rate,strategy_worst_trade
4000,4500,5000,0,True,0,0,6.7404,1.400679845790265,2.5,11.0,3.3702,0.7003399228951325,1.25,-9.5,2.9526112954905663,0.7907627110140241,5,-40.8,0.0,-44.75
4000,4500,5000,1,True,0,0,4.86045,1.402282937656921,1.0,9.5,2.430225,0.7011414688284605,0.5,-8.5,2.8775775057852617,0.7859369406066418,10,-35.975,0.0,-44.75
4000,4500,5000,2,True,0,0,3.13835,1.0701162518059606,0.0,7.5,1.569175,0.5350581259029803,0.0,-8.0,1.8752685006273322,0.6909930136248973,6,-39.5,0.0,-44.5
4500,5000,5100,0,False,0,0,408.1103,0.828463967384536,404.0,411.5,11.250516666666668,1.1870857571209752,7.583333333333343,-11.333333333333314,12.210573221717079,0.9448149924294615,4,-22.208333333333318,0.0,-22.333333333333314
4500,5000,5100,1,False,0,0,406.86245,0.9927001273568395,403.0,411.0,8.957208333333334,1.3888864330161315,5.75,-9.0,17.299132533934337,0.9607238001230358,3,-23.166666666666682,0.0,-23.91666666666669
4500,5000,5100,2,False,0,0,405.6379,0.9433040720028858,402.0,410.0,6.793483333333334,1.140328442528787,3.0,-6.833333333333371,12.480579705106003,0.9459760194363936,0,,,
5000,5100,5200,0,True,0,0,14.515,1.5825534580369645,9.5,18.0,7.2575,0.7912767290184822,4.75,-7.5,6.58867716999572,0.9001419697703937,1,-16.25,0.0,-16.25
5000,5100,5200,1,True,0,0,18.42505,1.9704049703232855,13.5,24.0,9.212525,0.9852024851616428,6.75,-9.5,10.394079394332909,0.9354882145361639,2,-14.375,0.0,-15.5
5000,5100,5200,2,True,0,0,17.94075,2.2738582806868295,11.5,24.0,8.970375,1.1369291403434147,5.75,-8.5,14.159497510356664,0.9522260649098473,0,,,
5100,5200,5300,0,True,0,0,22.0584,1.2231267489121438,19.0,26.0,11.0292,0.6115633744560719,9.5,-11.0,2.970155488756809,0.7918599992669861,8,-9.25,0.0,-11.5
5100,5200,5300,1,True,0,0,21.6355,1.4563316381181926,18.0,25.5,10.81775,0.7281658190590963,9.0,-10.0,4.359508238101745,0.8529992213926854,3,-10.75,0.0,-10.75
5100,5200,5300,2,True,0,0,23.70965,1.7511220746572853,19.5,28.0,11.854825,0.8755610373286427,9.75,-11.0,7.215376742387386,0.9084047142921109,2,-10.5,0.0,-11.0
5200,5300,5400,0,True,0,0,18.15315,1.0041020364434876,14.5,21.0,9.076575,0.5020510182217438,7.25,-9.0,2.123405082994443,0.7214934986404528,30,-6.483333333333333,0.0,-7.25
5200,5300,5400,1,True,0,0,16.96425,1.652292330217159,13.0,21.0,8.482125,0.8261461651085795,6.5,-8.0,6.1078808052494,0.8927184161760986,3,-6.416666666666667,0.0,-6.75
5200,5300,5400,2,True,0,0,18.82505,1.41995391629885,14.5,24.0,9.412525,0.709976958149425,7.25,-9.0,4.648123860335499,0.86146222059999,1,-7.0,0.0,-7.0
5300,5400,5500,0,True,0,0,20.01695,3.302351927085457,12.5,27.0,10.008475,1.6511759635427286,6.25,-7.5,48.42789328971054,0.9857889695988076,1,-1.75,0.0,-1.75
5300,5400,5500,1,True,0,0,22.17165,2.154187858575246,16.5,28.0,11.085825,1.077093929287623,8.25,-9.5,20.269106525074424,0.9663808921245651,2,-3.5,0.0,-3.5
5300,5400,5500,2,True,0,0,22.30375,2.5595343441934726,15.5,28.0,11.151875,1.2797671720967363,7.75,-9.0,29.646820694177606,0.9768910458800825,2,-2.75,0.0,-2.75
5400,5500,6000,0,False,0,0,2.84935,1.5464697651016126,-0.5,7.0,7.413758333333334,1.4575485365403311,4.000000000000001,-5.0,47.67863200183199,0.9855672651000082,1,-1.5833333333333317,0.0,-1.5833333333333317
5400,5500,6000,1,False,0,0,3.0125,0.7014220906807324,1.0,5.5,6.55765,1.0102519952788773,3.2500000000000004,-4.666666666666667,23.417630041069707,0.970834397532274,2,-1.9583333333333328,0.0,-2.2499999999999996
5400,5500,6000,2,False,0,0,3.6458,0.9907525014108747,1.5,7.5,6.234333333333333,1.2737734295686136,3.0000000000000004,-4.000000000000001,40.43304699447596,0.9830030211194639,2,-2.083333333333334,0.0,-2.083333333333334
5500,6000,6500,0,True,0,0,7.55895,1.23689243177763,5.0,12.0,3.779475,0.618446215888815,2.5,-3.5,58.09156196623392,0.9881389267622399,1,-2.5,0.0,-2.5
5500,6000,6500,1,True,0,0,6.07085,1.3286955334771275,2.5,9.5,3.035425,0.6643477667385638,1.25,-2.5,77.12950809394069,0.9910534642257067,1,-2.75,0.0,-2.75
5500,6000,6500,2,True,0,0,4.79425,1.3951475123291142,2.0,9.0,2.397125,0.6975737561645571,1.0,-2.0,98.36204341073064,0.9929778742393286,2,-2.5,0.0,-2.5
