day,timestamp,global_ts,VE_real,VEV_4000_plus_K,VEV_4500_plus_K,VEV_5000_plus_K,OLS_all_calls
0,0,0,5250.0,5250.0,5250.0,5257.0,5250.004884005289
0,100,100,5250.5,5250.5,5251.0,5258.0,5251.023039780561
0,200,200,5250.5,5250.5,5250.0,5257.0,5249.907696806682
0,300,300,5250.5,5250.5,5250.0,5257.5,5250.371265129168
0,400,400,5250.5,5250.5,5250.0,5257.0,5249.907696806682
0,500,500,5249.5,5249.5,5249.0,5257.0,5249.682511616468
0,600,600,5248.5,5248.5,5248.0,5256.0,5248.623512010978
0,700,700,5248.5,5248.5,5248.0,5256.0,5248.623512010978
0,800,800,5247.5,5247.5,5247.0,5255.0,5247.622599561179
0,900,900,5246.5,5246.5,5246.0,5254.0,5246.430221925344
0,1000,1000,5247.5,5246.5,5247.0,5254.0,5246.674435000581
0,1100,1100,5248.5,5248.5,5249.0,5256.0,5248.829749694927
0,1200,1200,5248.5,5248.5,5248.0,5256.0,5248.623512010978
0,1300,1300,5247.5,5247.5,5247.5,5255.0,5247.659275477861
0,1400,1400,5247.5,5247.5,5247.0,5255.0,5247.622599561179
0,1500,1500,5246.5,5246.5,5246.0,5254.0,5246.430221925344
0,1600,1600,5246.0,5246.5,5246.0,5254.0,5246.525624564401
0,1700,1700,5246.0,5246.0,5246.0,5254.0,5246.467409287059
0,1800,1800,5246.5,5246.5,5246.0,5254.0,5246.430221925344
0,1900,1900,5247.0,5246.5,5247.0,5254.0,5246.579032361524
0,2000,2000,5247.5,5247.5,5247.0,5255.0,5247.565172313408
0,2100,2100,5247.0,5246.5,5247.0,5254.0,5246.579032361524
0,2200,2200,5247.0,5246.5,5247.0,5254.0,5246.579032361524
0,2300,2300,5247.5,5247.5,5248.0,5255.0,5247.753378642315
0,2400,2400,5248.5,5248.5,5248.0,5255.5,5248.159943688492
0,2500,2500,5247.5,5247.5,5247.0,5255.0,5247.622599561179
0,2600,2600,5246.5,5246.5,5247.0,5254.0,5246.6564036455375
0,2700,2700,5246.5,5246.5,5246.0,5254.0,5246.430221925344
0,2800,2800,5245.5,5245.5,5245.0,5253.0,5245.467284866831
0,2900,2900,5246.5,5241.0,5242.5,5252.5,5243.87522528774
0,3000,3000,5245.5,5245.5,5246.0,5253.0,5245.482057364746
0,3100,3100,5246.5,5246.5,5246.0,5254.0,5246.430221925344
0,3200,3200,5245.5,5245.5,5246.0,5253.0,5245.56008855668
0,3300,3300,5245.0,5245.5,5245.0,5253.0,5245.449253511788
0,3400,3400,5244.5,5244.5,5245.0,5252.0,5244.405686312132
0,3500,3500,5244.5,5244.5,5245.0,5252.0,5244.405686312132
0,3600,3600,5243.5,5243.5,5244.0,5251.0,5243.366798471047
0,3700,3700,5244.5,5244.5,5244.0,5252.0,5244.274907230996
0,3800,3800,5242.5,5244.5,5244.0,5252.0,5244.274907230996
0,3900,3900,5243.0,5243.5,5243.0,5251.0,5243.379900791515
0,4000,4000,5242.0,5242.0,5242.0,5250.0,5242.242741872439
0,4100,4100,5241.5,5241.5,5242.0,5249.5,5242.000298113922
0,4200,4200,5241.0,5241.0,5241.0,5249.0,5241.252332793902
0,4300,4300,5241.5,5241.5,5241.0,5249.0,5241.310548071243
0,4400,4400,5239.5,5239.5,5239.0,5247.0,5239.077202184962
0,4500,4500,5239.0,5239.0,5239.0,5247.0,5239.154445347325
0,4600,4600,5239.5,5239.5,5239.0,5247.0,5239.250636015953
0,4700,4700,5238.0,5238.0,5238.0,5246.0,5238.095445741835
0,4800,4800,5238.5,5238.5,5238.0,5246.5,5238.521826702605
0,4900,4900,5237.5,5237.5,5237.0,5245.5,5237.3854558131
0,5000,5000,5238.5,5238.5,5238.0,5246.0,5238.058258380119
0,5100,5100,5238.5,5238.5,5238.5,5247.0,5238.984095550487
0,5200,5200,5238.5,5238.5,5239.0,5247.0,5239.087214392463
0,5300,5300,5237.5,5237.5,5237.5,5246.0,5237.943127300039
0,5400,5400,5237.5,5237.5,5238.0,5246.0,5238.037230464493
0,5500,5500,5238.5,5238.5,5238.5,5247.0,5238.984095550487
0,5600,5600,5237.5,5237.5,5238.0,5246.0,5238.037230464493
0,5700,5700,5237.5,5237.5,5238.0,5246.0,5238.037230464493
0,5800,5800,5239.0,5237.5,5238.0,5246.0,5238.037230464493
0,5900,5900,5239.5,5239.5,5239.0,5247.0,5239.288611407239
0,6000,6000,5239.5,5239.5,5239.0,5247.0,5239.288611407239
0,6100,6100,5238.5,5238.5,5239.0,5247.0,5239.125189783748
0,6200,6200,5236.5,5236.5,5237.0,5245.0,5236.960859411879
0,6300,6300,5236.0,5236.0,5236.0,5244.5,5236.308296730916
0,6400,6400,5235.5,5235.5,5235.0,5244.0,5235.733105333966
0,6500,6500,5234.5,5234.5,5234.0,5243.0,5234.770168275452
0,6600,6600,5234.5,5234.5,5234.5,5243.0,5234.595434969858
0,6700,6700,5234.5,5234.5,5234.5,5243.0,5234.690837608915
0,6800,6800,5234.5,5234.5,5235.0,5243.0,5234.689538134311
0,6900,6900,5235.5,5235.5,5235.0,5244.0,5235.742121011488
0,7000,7000,5235.5,5235.5,5235.5,5244.0,5235.845239853463
0,7100,7100,5234.5,5234.5,5235.0,5243.0,5234.689538134311
0,7200,7200,5235.5,5235.5,5236.0,5244.0,5235.843940378859
0,7300,7300,5238.0,5238.0,5238.0,5246.0,5238.095445741835
0,7400,7400,5237.5,5237.5,5238.0,5246.0,5238.037230464493
0,7500,7500,5237.5,5237.5,5237.0,5246.0,5237.849024135586
0,7600,7600,5236.0,5236.0,5236.0,5244.5,5236.27032133963
0,7700,7700,5236.5,5236.5,5236.5,5245.0,5236.962158886483
0,7800,7800,5235.0,5235.0,5235.0,5243.5,5235.211321734138
0,7900,7900,5233.5,5233.5,5234.0,5242.0,5233.717585398275
0,8000,8000,5233.5,5233.0,5233.0,5242.0,5233.6055373363515
0,8100,8100,5232.0,5232.0,5232.0,5241.0,5232.460150769325
0,8200,8200,5231.5,5231.5,5231.5,5240.5,5232.026053605637
0,8300,8300,5231.0,5231.0,5231.0,5240.0,5231.612135398651
0,8400,8400,5230.5,5230.5,5230.0,5239.0,5230.544415965452
0,8500,8500,5230.5,5230.5,5230.5,5239.5,5231.053675882142
0,8600,8600,5230.5,5229.5,5229.5,5238.5,5229.861298246307
0,8700,8700,5230.0,5230.0,5230.0,5239.0,5230.477185010588
0,8800,8800,5230.5,5231.0,5231.0,5240.0,5231.612135398651
0,8900,8900,5232.5,5232.0,5232.0,5241.0,5232.469166446847
0,9000,9000,5232.0,5232.0,5232.0,5241.0,5232.460150769325
0,9100,9100,5230.5,5231.0,5231.0,5240.0,5231.574160007365
0,9200,9200,5233.0,5231.5,5232.0,5240.5,5232.12015677009
0,9300,9300,5230.0,5231.5,5231.5,5240.5,5232.026053605637
0,9400,9400,5231.5,5231.5,5232.0,5240.5,5232.12015677009
0,9500,9500,5233.5,5233.5,5234.0,5242.0,5233.67961000699
0,9600,9600,5234.5,5234.5,5234.0,5243.0,5234.692137083518
0,9700,9700,5233.0,5233.0,5233.0,5242.0,5233.577002610048
0,9800,9800,5232.5,5232.5,5232.5,5241.0,5232.621484888642
0,9900,9900,5233.5,5234.0,5234.0,5242.5,5234.248384675625
0,10000,10000,5232.5,5232.5,5232.0,5241.0,5232.527381724189
0,10100,10100,5231.5,5231.5,5231.5,5240.0,5231.640516475086
0,10200,10200,5232.5,5232.5,5232.5,5241.0,5232.621484888642
0,10300,10300,5233.0,5233.0,5233.0,5242.0,5233.700939975409
0,10400,10400,5233.5,5238.5,5237.5,5243.5,5236.167375689731
0,10500,10500,5234.5,5234.5,5234.0,5243.0,5234.674765636396
0,10600,10600,5234.0,5234.0,5234.0,5243.0,5234.711952998111
0,10700,10700,5234.5,5234.5,5234.0,5243.0,5234.596734444462
0,10800,10800,5235.5,5235.5,5235.0,5244.0,5235.742121011488
0,10900,10900,5235.5,5235.5,5235.5,5244.0,5235.740821536884
0,11000,11000,5236.0,5236.0,5236.0,5244.5,5236.27032133963
0,11100,11100,5235.5,5235.5,5235.5,5244.0,5235.740821536884
0,11200,11200,5235.5,5235.5,5235.0,5244.0,5235.733105333966
0,11300,11300,5235.5,5235.5,5235.0,5244.0,5235.733105333966
0,11400,11400,5234.5,5234.5,5235.0,5243.5,5235.153106456797
0,11500,11500,5235.5,5235.5,5236.0,5244.0,5235.7485377398025
0,11600,11600,5236.5,5236.5,5236.5,5245.0,5236.924183495197
0,11700,11700,5236.5,5236.5,5236.5,5245.0,5236.924183495197
0,11800,11800,5235.5,5235.5,5235.5,5244.0,5235.7498372144055
0,11900,11900,5234.5,5234.5,5234.5,5243.0,5234.595434969858
0,12000,12000,5237.5,5237.5,5237.0,5246.0,5237.840008458064
0,12100,12100,5238.5,5238.5,5238.5,5247.0,5238.984095550487
0,12200,12200,5238.5,5238.5,5239.0,5247.0,5239.116174106227
0,12300,12300,5238.5,5238.5,5238.0,5246.0,5238.058258380119
0,12400,12400,5238.5,5238.5,5239.0,5247.0,5239.116174106227
0,12500,12500,5238.5,5237.5,5237.5,5246.0,5237.943127300039
0,12600,12600,5239.5,5238.5,5238.0,5246.5,5238.521826702605
0,12700,12700,5239.5,5239.5,5239.0,5247.0,5239.288611407239
0,12800,12800,5238.5,5238.5,5238.0,5247.0,5238.889992386034
0,12900,12900,5238.5,5238.5,5238.0,5246.0,5238.058258380119
0,13000,13000,5238.5,5238.5,5238.0,5246.0,5238.058258380119
