type,product_a,product_b,product_c,K1,K2,K3,day_pair,direction,realized_decay,bs_theta_decay,edge_after_spread,EV_par_trade,opportunities_per_day,capital_required_ticks,risk_max_ticks,frequency_count,tradable_arb_count,max_tradable_edge,score,notes
theta_calendar_proxy,VEV_4000,,,4000,,,0->1,short after under-decay,-21.5,-4.547473508864641e-13,-42.499999999999545,42.499999999999545,0.3333333333333333,1265.5,,1,0,,2.1249999999999774,low-confidence theta-only proxy; underlying move is not delta-adjusted
theta_calendar_proxy,VEV_4500,,,4500,,,0->1,short after under-decay,-21.5,0.0,-38.5,38.5,0.3333333333333333,765.5,,1,0,,1.925,low-confidence theta-only proxy; underlying move is not delta-adjusted
theta_calendar_proxy,VEV_5000,,,5000,,,0->1,short after under-decay,-18.5,1.7071558204461326,-27.207155820446133,27.207155820446133,0.3333333333333333,268.5,,1,0,,1.3603577910223068,low-confidence theta-only proxy; underlying move is not delta-adjusted
theta_calendar_proxy,VEV_5100,,,5100,,,0->1,short after under-decay,-13.5,3.5676294817585585,-22.06762948175856,22.06762948175856,0.3333333333333333,177.5,,1,0,,1.103381474087928,low-confidence theta-only proxy; underlying move is not delta-adjusted
theta_calendar_proxy,VEV_5200,,,5200,,,0->1,short after under-decay,-7.0,5.12221176849107,-15.12221176849107,15.12221176849107,0.3333333333333333,102.5,,1,0,,0.7561105884245536,low-confidence theta-only proxy; underlying move is not delta-adjusted
theta_calendar_proxy,VEV_5300,,,5300,,,0->1,short after under-decay,-5.0,5.034128123710843,-12.034128123710843,12.034128123710843,0.3333333333333333,52.0,,1,0,,0.6017064061855422,low-confidence theta-only proxy; underlying move is not delta-adjusted
theta_calendar_proxy,VEV_5400,,,5400,,,0->1,short after under-decay,-0.5,3.189135123255028,-5.689135123255028,5.689135123255028,0.3333333333333333,17.0,,1,0,,0.2844567561627514,low-confidence theta-only proxy; underlying move is not delta-adjusted
theta_calendar_proxy,VEV_5500,,,5500,,,0->1,short after under-decay,1.0,2.046530619335499,-2.046530619335499,2.046530619335499,0.3333333333333333,6.5,,1,0,,0.10232653096677496,low-confidence theta-only proxy; underlying move is not delta-adjusted
theta_calendar_proxy,VEV_6000,,,6000,,,0->1,short after under-decay,0.0,0.26114340354016363,-1.2611434035401636,1.2611434035401636,0.3333333333333333,0.5,,1,0,,0.06305717017700818,low-confidence theta-only proxy; underlying move is not delta-adjusted
theta_calendar_proxy,VEV_6500,,,6500,,,0->1,short after under-decay,0.0,0.2759480521586717,-1.2759480521586717,1.2759480521586717,0.3333333333333333,0.5,,1,0,,0.06379740260793358,low-confidence theta-only proxy; underlying move is not delta-adjusted
theta_calendar_proxy,VEV_4000,,,4000,,,1->2,short after under-decay,-29.5,-4.547473508864641e-13,-51.499999999999545,51.499999999999545,0.3333333333333333,1295.0,,1,0,,2.5749999999999775,low-confidence theta-only proxy; underlying move is not delta-adjusted
theta_calendar_proxy,VEV_4500,,,4500,,,1->2,short after under-decay,-30.0,0.0,-47.0,47.0,0.3333333333333333,795.5,,1,0,,2.35,low-confidence theta-only proxy; underlying move is not delta-adjusted
theta_calendar_proxy,VEV_5000,,,5000,,,1->2,short after under-decay,-28.0,1.1639247317589252,-36.163924731758925,36.163924731758925,0.3333333333333333,296.5,,1,0,,1.8081962365879463,low-confidence theta-only proxy; underlying move is not delta-adjusted
theta_calendar_proxy,VEV_5100,,,5100,,,1->2,short after under-decay,-24.0,3.0095354981776836,-32.009535498177684,32.009535498177684,0.3333333333333333,201.5,,1,0,,1.6004767749088842,low-confidence theta-only proxy; underlying move is not delta-adjusted
theta_calendar_proxy,VEV_5200,,,5200,,,1->2,short after under-decay,-16.5,5.139231647163342,-25.639231647163342,25.639231647163342,0.3333333333333333,119.0,,1,0,,1.2819615823581672,low-confidence theta-only proxy; underlying move is not delta-adjusted
theta_calendar_proxy,VEV_5300,,,5300,,,1->2,short after under-decay,-6.0,5.780326171439356,-13.780326171439356,13.780326171439356,0.3333333333333333,58.0,,1,0,,0.6890163085719678,low-confidence theta-only proxy; underlying move is not delta-adjusted
theta_calendar_proxy,VEV_5400,,,5400,,,1->2,short after under-decay,-3.0,3.6424959844097202,-8.64249598440972,8.64249598440972,0.3333333333333333,20.0,,1,0,,0.432124799220486,low-confidence theta-only proxy; underlying move is not delta-adjusted
theta_calendar_proxy,VEV_5500,,,5500,,,1->2,short after under-decay,-0.5,2.0817020913210627,-4.581702091321063,4.581702091321063,0.3333333333333333,7.0,,1,0,,0.22908510456605313,low-confidence theta-only proxy; underlying move is not delta-adjusted
theta_calendar_proxy,VEV_6000,,,6000,,,1->2,short after under-decay,0.0,0.29243667956604114,-1.2924366795660411,1.2924366795660411,0.3333333333333333,0.5,,1,0,,0.06462183397830205,low-confidence theta-only proxy; underlying move is not delta-adjusted
theta_calendar_proxy,VEV_6500,,,6500,,,1->2,short after under-decay,0.0,0.3080923613487503,-1.3080923613487503,1.3080923613487503,0.3333333333333333,0.5,,1,0,,0.06540461806743751,low-confidence theta-only proxy; underlying move is not delta-adjusted
